W(H)1m,mean(H)1m,stdev(H)1m,W(M)1m,mean(M)1m,stdev(M)1m,W(HH)1m,mean(HH)1m,stdev(HH)1m,magnitud(HH)1m,radius(HH)1m,covariance(HH)1m,correlation(HH)1m,W(HH_jit)1m,mean(HH_jit)1m,stdev(HH_jit)1m,W(HpHp)1m,mean(HpHp)1m,stdev(HpHp)1m,magnitud(HpHp)1m,radius(HpHp)1m,covariance(HpHp)1m,correlation(HpHp)1m,W(H)10s,mean(H)10s,stdev(H)10s,W(M)10s,mean(M)10s,stdev(M)10s,W(HH)10s,mean(HH)10s,stdev(HH)10s,magnitud(HH)10s,radius(HH)10s,covariance(HH)10s,correlation(HH)10s,W(HH_jit)10s,mean(HH_jit)10s,stdev(HH_jit)10s,W(HpHp)10s,mean(HpHp)10s,stdev(HpHp)10s,magnitud(HpHp)10s,radius(HpHp)10s,covariance(HpHp)10s,correlation(HpHp)10s,W(H)1.5s,mean(H)1.5s,stdev(H)1.5s,W(M)1.5s,mean(M)1.5s,stdev(M)1.5s,W(HH)1.5s,mean(HH)1.5s,stdev(HH)1.5s,magnitud(HH)1.5s,radius(HH)1.5s,covariance(HH)1.5s,correlation(HH)1.5s,W(HH_jit)1.5s,mean(HH_jit)1.5s,stdev(HH_jit)1.5s,W(HpHp)1.5s,mean(HpHp)1.5s,stdev(HpHp)1.5s,magnitud(HpHp)1.5s,radius(HpHp)1.5s,covariance(HpHp)1.5s,correlation(HpHp)1.5s,W(H)500ms,mean(H)500ms,stdev(H)500ms,W(M)500ms,mean(M)500ms,stdev(M)500ms,W(HH)500ms,mean(HH)500ms,stdev(HH)500ms,magnitud(HH)500ms,radius(HH)500ms,covariance(HH)500ms,correlation(HH)500ms,W(HH_jit)500ms,mean(HH_jit)500ms,stdev(HH_jit)500ms,W(HpHp)500ms,mean(HpHp)500ms,stdev(HpHp)500ms,magnitud(HpHp)500ms,radius(HpHp)500ms,covariance(HpHp)500ms,correlation(HpHp)500ms,W(H)100ms,mean(H)100ms,stdev(H)100ms,W(M)100ms,mean(M)100ms,stdev(M)100ms,W(HH)100ms,mean(HH)100ms,stdev(HH)100ms,magnitud(HH)100ms,radius(HH)100ms,covariance(HH)100ms,correlation(HH)100ms,W(HH_jit)100ms,mean(HH_jit)100ms,stdev(HH_jit)100ms,W(HpHp)100ms,mean(HpHp)100ms,stdev(HpHp)100ms,magnitud(HpHp)100ms,radius(HpHp)100ms,covariance(HpHp)100ms,correlation(HpHp)100ms
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,307.0521383,326.0610577,7328.626233,0.876747499,48,425.25,5.00425351,8,212.125,7.100050302,307.0521383,326.9101407,9568.248883,0.99836881,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,308.0729784,325.2588781,9605.549432,0.997593728,5,428.2,5.215361924,7,213.4285714,6.5538066,307.9541445,325.8433781,9666.379431,0.998477685,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,204,0,1,239,0,1,239,0,337.9970414,0,12640.66667,1,1,239,0,1,239,0,337.9970414,0,12640.66667,1
5,190.6,25.1753848,5,222,17.97220076,5,222,17.97220076,307.0521383,326.0610577,7328.626233,0.876747499,3,450,11.26942767,5,222,17.97220076,307.0521383,326.9101407,9568.248883,0.99836881,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,222,0,5,222,17.97220076,5,222,17.97220076,313.9554108,456.7909806,9876.068984,1,3,450,11.26942767,5,222,17.97220076,313.9554108,456.7909806,9876.068984,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,2,178,7.071067812,1,239,0,1,239,0,337.9970414,0,12640.66667,1,1,239,0,1,239,0,337.9970414,0,12640.66667,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,4,182.75,20.83866598,5,222,17.97220076,5,222,17.97220076,308.0729784,325.2588781,9605.549432,0.997593728,3,450,11.26942767,5,222,17.97220076,307.9541445,325.8433781,9666.379431,0.998477685,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,308.4334774,422.2375964,9635.508908,0.995789939,5,428.2,5.215361924,7,213.4285714,6.5538066,308.3147825,422.6880138,9699.63155,0.996991236,1,215,0,1,239,0,1,239,0,337.9970414,0,12640.66667,1,1,239,0,1,239,0,337.9970414,0,12640.66667,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,302.3146963,154.0344143,8443.355982,0.975671913,24,425.25,5.05835512,8,212.125,7.100050302,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,3,191.6666667,23.11565126,2,222.5,20.50609665,2,222.5,20.50609665,308.4334774,422.2375964,9635.508908,0.995789939,1,446,0,2,222.5,20.50609665,308.3147825,422.6880138,9699.63155,0.996991236,2,173,0,1,239,0,1,239,0,337.9970414,0,12640.66667,1,1,239,0,1,239,0,337.9970414,0,12640.66667,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,302.3146963,153.8964045,7283.931971,0.887780026,48,425.25,5.00425351,8,212.125,7.100050302,302.3146963,155.6872831,9401.724537,0.99943278,3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,302.3146963,154.0344143,8443.355982,0.975671913,3,425,19.67231557,5,215.4,12.13672114,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,307.7405562,444.4197672,9334.834795,0.998744654,5,428.2,5.215361924,7,213.4285714,6.5538066,307.6215939,444.8477253,9391.372185,0.999355277,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,205,0,1,239,0,1,239,0,337.9970414,0,12640.66667,1,1,239,0,1,239,0,337.9970414,0,12640.66667,1
3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,302.3146963,153.8964045,7283.931971,0.887780026,3,425,19.67231557,5,215.4,12.13672114,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,307.0521383,326.1262191,8554.392758,0.970264995,24,425.25,5.05835512,8,212.125,7.100050302,307.0521383,326.9101407,9568.248883,0.99836881,4,201.5,35.9768444,13,221.5384615,21.04208238,13,221.5384615,21.04208238,313.3026969,626.1702512,9305.751454,1,7,440.5714286,21.36084536,13,221.5384615,21.04208238,313.3026969,626.1702512,9305.751454,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,171,0,1,239,0,1,239,0,320.5401067,38.26666667,10892.50651,0.999922624,1,239,0,1,239,0,320.4258964,42.95238095,10952.61278,0.999998449
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,305.6092532,268.9197898,7309.448731,0.881840854,48,425.25,5.00425351,8,212.125,7.100050302,305.6092532,269.948662,9493.351043,0.998922303,5,190.6,25.1753848,5,222,17.97220076,5,222,17.97220076,307.0521383,326.1262191,8554.392758,0.970264995,3,450,11.26942767,5,222,17.97220076,307.0521383,326.9101407,9568.248883,0.99836881,1,172,0,13,221.5384615,21.04208238,13,221.5384615,21.04208238,307.7405562,444.4197672,9334.834795,0.998744654,7,440.5714286,21.36084536,13,221.5384615,21.04208238,307.6215939,444.8477253,9391.372185,0.999355277,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,308.4334774,422.2375964,9635.508908,0.995789939,5,428.2,5.215361924,7,213.4285714,6.5538066,308.3147825,422.6880138,9699.63155,0.996991236
3,202,26.28687886,6,220,16.28496239,6,220,16.28496239,305.6092532,268.9197898,7309.448731,0.881840854,3,441,13.07669683,6,220,16.28496239,305.6092532,269.948662,9493.351043,0.998922303,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,216,0,2,222.5,20.50609665,2,222.5,20.50609665,314.6625176,594.676803,9973.806956,1,1,446,0,2,222.5,20.50609665,314.6625176,594.676803,9973.806956,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,311.0779917,460.7892546,7345.147054,0.912959465,48,425.25,5.00425351,8,212.125,7.100050302,310.8524555,505.7502201,9319.955448,0.999984106,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,303.3514793,152.189447,9441.096572,0.99894474,5,428.2,5.215361924,7,213.4285714,6.5538066,303.2307951,153.434667,9497.714454,0.999496228,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,308.4334774,422.2375964,9635.508908,0.995789939,5,428.2,5.215361924,7,213.4285714,6.5538066,308.3147825,422.6880138,9699.63155,0.996991236,2,179.5,13.43502884,2,222.5,20.50609665,2,222.5,20.50609665,313.462741,553.2345696,9713.05792,0.999273246,1,446,0,2,222.5,20.50609665,313.462741,553.2345696,9713.05792,0.999273246
24,190.5833333,27.30013006,28,227.5357143,21.41560895,28,227.5357143,21.41560895,324.5993704,641.8262412,9847.821053,0.995394887,15,441.4,61.57898528,22,227.2272727,22.4328242,324.3832355,674.4205253,9974.115878,0.997818034,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,4,184.5,21.57931108,5,215.4,12.13672114,5,215.4,12.13672114,312.4482962,588.0797008,9810.384479,0.998500005,3,425,19.67231557,5,215.4,12.13672114,312.4482962,588.0797008,9810.384479,0.998500005,3,191.6666667,23.11565126,2,222.5,20.50609665,2,222.5,20.50609665,308.4334774,422.2375964,9635.508908,0.995789939,1,446,0,2,222.5,20.50609665,308.3147825,422.6880138,9699.63155,0.996991236,4,201.5,35.9768444,10,220.8,18.96077823,10,220.8,18.96077823,312.2583546,508.4254892,9472.889666,1,5,442.6,25.52057993,10,220.8,18.96077823,312.2583546,508.4254892,9472.889666,1
4,201.75,30.77201109,4,231.5,21.1896201,4,231.5,21.1896201,320.4240003,630.5914618,9971.912223,0.99942682,2,464,35.35533906,4,231.5,21.1896201,320.4240003,630.5914618,9971.912223,0.99942682,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,302.3146963,154.0344143,8443.355982,0.975671913,24,425.25,5.05835512,8,212.125,7.100050302,302.3146963,155.6872831,9401.724537,0.99943278,2,218,5.656854249,3,226.3333333,23.86070689,3,226.3333333,23.86070689,320.0836696,805.1589215,10145.3457,1,2,447.5,14.8492424,3,226.3333333,23.86070689,320.0836696,805.1589215,10145.3457,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,312.6548572,453.5120626,9506.089421,0.999675835,5,428.2,5.215361924,7,213.4285714,6.5538066,312.4194818,529.0541649,9650.914016,0.999079909,1,172,0,10,220.8,18.96077823,10,220.8,18.96077823,307.2093749,361.5419433,9416.553648,0.998560313,5,442.6,25.52057993,10,220.8,18.96077823,307.0902068,362.0678749,9474.065128,0.999221359
5,195.6,33.83489323,13,221.5384615,21.04208238,13,221.5384615,21.04208238,306.7186097,445.0071966,7187.765624,0.885854108,7,440.5714286,21.36084536,13,221.5384615,21.04208238,306.7186097,445.6297026,9296.381783,0.99928375,3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,307.8914744,303.3617148,9611.865267,0.999918754,3,425,19.67231557,5,215.4,12.13672114,307.8914744,303.3617148,9611.865267,0.999918754,1,184,0,3,226.3333333,23.86070689,3,226.3333333,23.86070689,311.2101184,570.6178951,9709.640026,0.994931681,2,447.5,14.8492424,3,226.3333333,23.86070689,311.0924828,570.9512689,9775.505558,0.99625929,1,240,0,19,228.3157895,21.2578159,19,228.3157895,21.2578159,322.887286,639.0756656,9632.355764,1,10,434.7,73.45452108,13,228.1538462,22.96318123,322.6582635,745.72569,9832.627941,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,306.5704814,222.3796253,7407.025507,0.884967594,48,425.25,5.00425351,8,212.125,7.100050302,306.5704814,223.6227282,9588.850793,0.999209759,3,202,26.28687886,6,220,16.28496239,6,220,16.28496239,305.6092532,268.9987933,8504.873973,0.972798042,3,441,13.07669683,6,220,16.28496239,305.6092532,269.948662,9493.351043,0.998922303,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,319.0516573,38.26666667,10801.17007,0.999923005,5,428.2,5.215361924,7,213.4285714,6.5538066,318.936914,42.95238095,10860.76759,0.999998394,5,181.8,18.04716044,19,228.3157895,21.2578159,19,228.3157895,21.2578159,322.887286,639.0756656,9632.355764,1,10,434.7,73.45452108,13,228.1538462,22.96318123,322.6582635,745.72569,9832.627941,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,318.3095349,38.26666667,10755.50185,0.999923198,5,428.2,5.215361924,7,213.4285714,6.5538066,318.194524,42.95238095,10814.845,0.999998366
9,194.1111111,27.26923378,6,221.3333333,14.76030713,6,221.3333333,14.76030713,306.5704814,222.3796253,7407.025507,0.884967594,4,392.5,103.3134389,6,221.3333333,14.76030713,306.5704814,223.6227282,9588.850793,0.999209759,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,311.0779917,460.8353661,8373.383701,0.986736532,24,425.25,5.05835512,8,212.125,7.100050302,310.8524555,505.7502201,9319.955448,0.999984106,5,190.6,25.1753848,1,237,0,1,237,0,319.0516573,38.26666667,10801.17007,0.999923005,1,437,0,1,237,0,318.936914,42.95238095,10860.76759,0.999998394,2,171.5,0.707106781,19,228.3157895,21.2578159,19,228.3157895,21.2578159,322.887286,639.0756656,9632.355764,1,10,434.7,73.45452108,13,228.1538462,22.96318123,322.6582635,745.72569,9832.627941,1,2,217,5.656854249,1,236,0,1,236,0,333.7544007,0,12324.66667,1,1,435,0,1,236,0,333.7544007,0,12324.66667,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,306.7186097,445.0071966,7187.765624,0.885854108,48,425.25,5.00425351,8,212.125,7.100050302,306.7186097,445.6297026,9296.381783,0.99928375,18,190.8888889,27.33213771,28,227.5357143,21.41560895,28,227.5357143,21.41560895,321.7840931,648.5983717,9149.261478,1,15,441.4,61.57898528,22,227.2272727,22.4328242,321.3478908,711.6769562,9339.909662,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,6,189.6666667,29.78366443,19,228.3157895,21.2578159,19,228.3157895,21.2578159,325.1466588,637.0320661,10133.8438,0.998288862,10,434.7,73.45452108,13,228.1538462,22.96318123,325.0329637,692.5708645,10252.49889,0.999639031,1,172,0,1,236,0,1,236,0,333.7544007,0,12324.66667,1,1,435,0,1,236,0,333.7544007,0,12324.66667,1
4,202,35.41186242,13,221.5384615,21.04208238,13,221.5384615,21.04208238,306.7186097,445.0071966,7187.765624,0.885854108,7,440.5714286,21.36084536,13,221.5384615,21.04208238,306.7186097,445.6297026,9296.381783,0.99928375,6,189.6666667,29.78366443,28,227.5357143,21.41560895,28,227.5357143,21.41560895,324.5993704,641.8262412,9847.821053,0.995394887,15,441.4,61.57898528,22,227.2272727,22.4328242,324.3832355,674.4205253,9974.115878,0.997818034,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,4,201.75,30.77201109,4,231.5,21.1896201,4,231.5,21.1896201,314.9876347,450.6277153,9986.083869,0.996476457,2,464,35.35533906,4,231.5,21.1896201,314.8714104,451.0497833,10051.41561,0.997567037,1,221,0,1,236,0,1,236,0,333.7544007,0,12324.66667,1,1,435,0,1,236,0,333.7544007,0,12324.66667,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,310.2690987,338.8964674,7469.218845,0.880306277,48,425.25,5.00425351,8,212.125,7.100050302,310.2690987,339.713471,9716.251666,0.998766456,4,201.75,30.77201109,4,231.5,21.1896201,4,231.5,21.1896201,313.9892763,451.2541532,8869.915858,0.966631652,2,464,35.35533906,4,231.5,21.1896201,313.9892763,451.8210266,9949.093641,0.997429926,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,2,192.5,28.99137803,1,236,0,1,236,0,318.3095349,38.26666667,10755.50185,0.999923198,1,435,0,1,236,0,318.194524,42.95238095,10814.845,0.999998366
6,193.5,27.81905822,7,226.4285714,18.32900382,7,226.4285714,18.32900382,312.5172923,366.82597,9838.624868,0.999872133,4,397,110.2149415,7,226.4285714,18.32900382,312.5172923,366.82597,9838.624868,0.999872133,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,306.7186097,445.0549433,8342.104475,0.974749755,24,425.25,5.05835512,8,212.125,7.100050302,306.7186097,445.6297026,9296.381783,0.99928375,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,303.3514793,152.189447,9441.096572,0.99894474,5,428.2,5.215361924,7,213.4285714,6.5538066,303.2307951,153.434667,9497.714454,0.999496228,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1
4,184.5,21.57931108,5,215.4,12.13672114,5,215.4,12.13672114,310.7622242,415.954673,9648.280401,0.99989639,3,425,19.67231557,5,215.4,12.13672114,310.7622242,415.954673,9648.280401,0.99989639,5,195.6,33.83489323,13,221.5384615,21.04208238,13,221.5384615,21.04208238,313.1576829,493.4678066,9599.20855,0.999998181,7,440.5714286,21.36084536,13,221.5384615,21.04208238,313.1576829,493.4678066,9599.20855,0.999998181,3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,303.3514793,152.189447,9441.096572,0.99894474,3,425,19.67231557,5,215.4,12.13672114,303.2307951,153.434667,9497.714454,0.999496228,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,308.4334774,422.2375964,9635.508908,0.995789939,5,428.2,5.215361924,7,213.4285714,6.5538066,308.3147825,422.6880138,9699.63155,0.996991236,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1
6,193.8333333,32.07751029,9,224,19.72308292,9,224,19.72308292,308.5012409,391.5454167,7330.829603,0.881062588,5,404,97.31906288,9,224,19.72308292,308.5012409,392.2527758,9528.787713,0.998844461,9,194.1111111,27.26923378,6,221.3333333,14.76030713,6,221.3333333,14.76030713,306.5704814,222.4751565,8601.413119,0.974322089,4,392.5,103.3134389,6,221.3333333,14.76030713,306.5704814,223.6227282,9588.850793,0.999209759,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,319.0516573,38.26666667,10801.17007,0.999923005,5,428.2,5.215361924,7,213.4285714,6.5538066,318.936914,42.95238095,10860.76759,0.999998394,4,184.5,21.57931108,2,222.5,20.50609665,2,222.5,20.50609665,308.4334774,422.2375964,9635.508908,0.995789939,1,446,0,2,222.5,20.50609665,308.3147825,422.6880138,9699.63155,0.996991236,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,308.4334774,422.2375964,9635.508908,0.995789939,5,428.2,5.215361924,7,213.4285714,6.5538066,308.3147825,422.6880138,9699.63155,0.996991236
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,306.7186097,445.0549433,8342.104475,0.974749755,24,425.25,5.05835512,8,212.125,7.100050302,306.7186097,445.6297026,9296.381783,0.99928375,5,192.8,23.57328997,1,237,0,1,237,0,319.0516573,38.26666667,10801.17007,0.999923005,1,437,0,1,237,0,318.936914,42.95238095,10860.76759,0.999998394,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,308.0729784,325.2588781,9605.549432,0.997593728,5,428.2,5.215361924,7,213.4285714,6.5538066,307.9541445,325.8433781,9666.379431,0.998477685,3,191.6666667,23.11565126,2,222.5,20.50609665,2,222.5,20.50609665,316.6723245,707.7857687,10011.86583,0.999956499,1,446,0,2,222.5,20.50609665,316.6723245,707.7857687,10011.86583,0.999956499
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,4,202,35.41186242,13,221.5384615,21.04208238,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,7,440.5714286,21.36084536,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,222,0,5,222,17.97220076,5,222,17.97220076,313.9554108,456.7909806,9876.068984,1,3,450,11.26942767,5,222,17.97220076,313.9554108,456.7909806,9876.068984,1,2,211.5,13.43502884,3,225.3333333,23.86070689,3,225.3333333,23.86070689,318.6694561,805.1589215,10050.94438,1,2,338.5,144.9568901,3,225.3333333,23.86070689,318.6694561,805.1589215,10050.94438,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,6,193.5,27.81905822,7,226.4285714,18.32900382,7,226.4285714,18.32900382,310.2690987,338.9591614,8699.151543,0.972041317,4,397,110.2149415,7,226.4285714,18.32900382,310.2690987,339.713471,9716.251666,0.998766456,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,4,182.75,20.83866598,5,222,17.97220076,5,222,17.97220076,308.0729784,325.2588781,9605.549432,0.997593728,3,450,11.26942767,5,222,17.97220076,307.9541445,325.8433781,9666.379431,0.998477685,1,172,0,3,225.3333333,23.86070689,3,225.3333333,23.86070689,318.6694561,805.1589215,10050.94438,1,2,338.5,144.9568901,3,225.3333333,23.86070689,318.6694561,805.1589215,10050.94438,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,306.329913,268.9197898,7345.179136,0.881936489,48,425.25,5.00425351,8,212.125,7.100050302,306.329913,269.948662,9538.812149,0.998931698,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,302.3146963,154.0344143,8443.355982,0.975671913,24,425.25,5.05835512,8,212.125,7.100050302,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,303.3514793,152.189447,9441.096572,0.99894474,5,428.2,5.215361924,7,213.4285714,6.5538066,303.2307951,153.434667,9497.714454,0.999496228,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,172,0,3,225.3333333,23.86070689,3,225.3333333,23.86070689,310.4836084,570.6178951,9663.971804,0.994891626,2,338.5,144.9568901,3,225.3333333,23.86070689,310.3656975,570.9512689,9729.582965,0.996224856
3,203,26.28687886,6,221,16.28496239,6,221,16.28496239,306.329913,268.9197898,7345.179136,0.881936489,3,443,13.07669683,6,221,16.28496239,306.329913,269.948662,9538.812149,0.998931698,4,184.5,21.57931108,5,215.4,12.13672114,5,215.4,12.13672114,310.7622242,415.954673,9648.280401,0.99989639,3,425,19.67231557,5,215.4,12.13672114,310.7622242,415.954673,9648.280401,0.99989639,3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,320.2595198,147.3,10868.96226,0.99943775,3,425,19.67231557,5,215.4,12.13672114,320.2595198,147.3,10868.96226,0.99943775,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,307.7405562,444.4197672,9334.834795,0.998744654,5,428.2,5.215361924,7,213.4285714,6.5538066,307.6215939,444.8477253,9391.372185,0.999355277,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,312.2158803,420.9809001,9763.366522,0.997511985,5,428.2,5.215361924,7,213.4285714,6.5538066,304.3694385,723.276508,9300.459234,0.994195337
